Age,Gender,Country,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,Cluster,Persona
30,Others,United States,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,No,No,No,No,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Don't know,No,2,Mature Silent Sufferers
26,Male,United States,No,No,No,Never,26-100,No,Yes,No,No,No,No,No,Don't know,No,No,Some of them,Some of them,No,No,Don't know,Yes,1,Corporate Hidden Strugglers
25,Male,United States,No,No,No,Never,26-100,Yes,Yes,No,No,No,No,No,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,1,Corporate Hidden Strugglers
27,Male,United States,No,No,No,Sometimes,100-500,No,Yes,Yes,No,Yes,Yes,No,Don't know,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No,0,Open Advocates
25,Male,Canada,No,No,Yes,Often,6-25,Yes,No,No,No,No,No,No,Somewhat difficult,Yes,Maybe,No,No,No,Maybe,Don't know,No,1,Corporate Hidden Strugglers
35,Male,United States,No,No,Yes,Rarely,100-500,No,Yes,Yes,No,No,Yes,No,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,0,Open Advocates
36,Male,United States,Yes,No,Yes,Never,1-5,No,Yes,No,Yes,No,No,No,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Yes,No,2,Mature Silent Sufferers
26,Male,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,No,No,No,No,Don't know,Yes,No,No,No,No,No,No,No,0,Open Advocates
27,Male,United States,No,Yes,No,Never,More than 1000,No,Yes,No,No,No,No,No,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,0,Open Advocates
30,Male,United States,No,No,No,Never,6-25,No,No,No,No,No,No,No,Don't know,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,1,Corporate Hidden Strugglers
29,Male,United States,No,No,No,Never,100-500,No,No,No,No,No,No,No,Don't know,Maybe,No,No,No,No,Maybe,Don't know,No,1,Corporate Hidden Strugglers
25,Male,United States,No,No,No,Never,More than 1000,No,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,0,Open Advocates
22,Female,United States,No,Yes,Yes,Often,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,No,Some of them,No,No,Yes,Yes,0,Open Advocates
29,Male,Other,No,No,No,Sometimes,26-100,No,Yes,No,Yes,No,No,No,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,2,Mature Silent Sufferers
41,Male,United States,No,Yes,Yes,Rarely,100-500,Yes,Yes,Yes,Yes,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,2,Mature Silent Sufferers
29,Male,United States,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,No,No,No,No,Don't know,Yes,No,Some of them,Some of them,No,Maybe,No,No,0,Open Advocates
32,Male,United States,No,No,No,Never,500-1000,No,Yes,Yes,No,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,0,Open Advocates
24,Female,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,No,Yes,Yes,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No,0,Open Advocates
25,Male,United States,No,No,Yes,Rarely,6-25,No,Yes,Yes,No,No,No,No,Don't know,Maybe,No,No,No,No,No,Don't know,No,1,Corporate Hidden Strugglers
25,Male,United States,No,No,No,Sometimes,More than 1000,No,Yes,No,No,No,No,No,Don't know,Maybe,No,No,No,No,Maybe,Don't know,No,0,Open Advocates
30,Female,United States,No,No,No,Never,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe,No,Some of them,No,No,Don't know,No,0,Open Advocates
25,Male,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,No,No,No,Yes,No,Don't know,No,No,Yes,Yes,No,No,Yes,No,0,Open Advocates
30,Male,United States,Yes,No,No,Never,1-5,Yes,Yes,No,Yes,No,No,No,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No,1,Corporate Hidden Strugglers
33,Male,Other,Yes,Yes,Yes,Rarely,1-5,No,No,No,No,No,No,No,Somewhat difficult,Yes,Yes,No,No,Maybe,No,Yes,Yes,1,Corporate Hidden Strugglers
24,Male,United States,No,No,No,Never,26-100,No,Yes,Yes,No,Yes,Yes,Yes,Very easy,No,No,Some of them,Some of them,No,Maybe,Yes,No,2,Mature Silent Sufferers
25,Male,Canada,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,No,No,No,Don't know,Yes,Maybe,Some of them,No,No,No,No,No,0,Open Advocates
31,Male,United States,No,No,No,Never,100-500,No,No,No,No,No,No,Yes,Somewhat easy,Maybe,No,No,No,No,Yes,No,No,2,Mature Silent Sufferers
45,Male,Other,Yes,No,Yes,Often,1-5,No,Yes,No,No,No,No,No,Very difficult,No,No,No,No,No,No,Don't know,No,1,Corporate Hidden Strugglers
29,Male,Other,No,No,No,Never,6-25,Yes,No,No,Yes,No,No,No,Don't know,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,No,No,1,Corporate Hidden Strugglers
46,Male,United States,No,No,No,Never,26-100,No,Yes,Yes,No,Yes,No,No,Very easy,No,No,Some of them,Some of them,Maybe,Maybe,Don't know,No,2,Mature Silent Sufferers
30,Male,United Kingdom,No,No,Yes,Sometimes,26-100,No,Yes,No,No,No,No,No,Don't know,Yes,Maybe,No,No,No,Maybe,Don't know,No,1,Corporate Hidden Strugglers
29,Female,United States,Yes,No,No,Sometimes,More than 1000,No,Yes,Yes,No,No,No,No,Very easy,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,0,Open Advocates
24,Male,United States,No,No,No,Sometimes,More than 1000,No,Yes,Yes,Yes,No,No,Yes,Don't know,Yes,No,No,No,No,Maybe,Don't know,No,0,Open Advocates
29,Male,United States,No,No,No,Never,26-100,No,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No,2,Mature Silent Sufferers
35,Male,United States,No,No,No,Never,26-100,No,No,No,No,No,No,No,Don't know,No,No,Yes,Yes,No,No,No,No,1,Corporate Hidden Strugglers
33,Female,United States,No,Yes,No,Sometimes,26-100,Yes,Yes,No,Yes,No,No,No,Very difficult,Yes,Maybe,Some of them,Some of them,No,Maybe,No,No,1,Corporate Hidden Strugglers
27,Male,United States,No,No,No,Sometimes,More than 1000,No,Yes,No,No,No,No,No,Very easy,Yes,No,No,No,No,Maybe,No,No,0,Open Advocates
36,Male,United States,No,No,No,Never,More than 1000,No,Yes,No,No,No,No,No,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,0,Open Advocates
33,Male,United Kingdom,No,No,No,Rarely,1-5,Yes,Yes,No,No,No,No,No,Don't know,Yes,Maybe,No,No,No,Maybe,No,No,1,Corporate Hidden Strugglers
25,Female,United States,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,No,Yes,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,1,Corporate Hidden Strugglers
23,Male,United States,No,Yes,Yes,Sometimes,100-500,No,No,No,No,No,No,No,Don't know,No,No,Yes,Yes,Maybe,Yes,Don't know,No,1,Corporate Hidden Strugglers
54,Male,United States,No,Yes,Yes,Never,More than 1000,No,Yes,No,No,Yes,Yes,No,Don't know,No,No,No,Yes,No,No,Don't know,No,0,Open Advocates
22,Male,United States,No,No,No,Sometimes,More than 1000,No,Yes,No,No,No,No,No,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No,0,Open Advocates
25,Others,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,No,No,No,Don't know,Maybe,No,Some of them,Some of them,No,No,Yes,No,0,Open Advocates
29,Male,Other,No,No,No,Often,6-25,No,No,No,No,No,No,No,Don't know,Maybe,No,Yes,Yes,Maybe,Maybe,Don't know,No,1,Corporate Hidden Strugglers
27,Male,United States,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,No,No,No,No,No,Yes,Yes,No,0,Open Advocates
30,Male,United Kingdom,No,No,No,Never,6-25,No,Yes,No,No,No,No,No,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No,2,Mature Silent Sufferers
26,Male,United States,No,Yes,Yes,Often,More than 1000,No,Yes,Yes,No,No,Yes,No,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No,0,Open Advocates
25,Female,Other,No,Yes,No,Sometimes,6-25,No,Yes,Yes,Yes,Yes,No,No,Somewhat easy,No,No,Some of them,Yes,No,No,No,No,2,Mature Silent Sufferers
31,Male,United States,No,No,Yes,Sometimes,500-1000,No,No,No,Yes,No,No,Yes,Don't know,No,No,Some of them,No,No,No,No,No,0,Open Advocates
33,Male,United States,No,Yes,Yes,Sometimes,26-100,No,Yes,No,No,No,No,No,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,1,Corporate Hidden Strugglers
34,Male,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,No,Yes,Yes,Don't know,Maybe,Maybe,No,No,No,No,Don't know,No,0,Open Advocates
34,Male,United States,No,No,Yes,Sometimes,100-500,Yes,Yes,No,No,No,No,No,Somewhat easy,Yes,Yes,Some of them,Some of them,No,Maybe,Don't know,No,2,Mature Silent Sufferers
29,Male,United States,Yes,No,No,Never,1-5,Yes,Yes,No,Yes,No,No,Yes,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,2,Mature Silent Sufferers
33,Female,United States,No,No,No,Sometimes,6-25,No,Yes,No,No,No,No,No,Somewhat difficult,Maybe,No,Some of them,Some of them,No,No,Don't know,No,1,Corporate Hidden Strugglers
34,Male,Other,Yes,Yes,Yes,Rarely,26-100,Yes,Yes,No,No,No,No,No,Somewhat difficult,No,No,Yes,Yes,No,Maybe,Yes,No,2,Mature Silent Sufferers
26,Male,United States,Yes,Yes,Yes,Rarely,100-500,Yes,No,No,No,No,No,No,Don't know,Maybe,No,Some of them,Yes,No,Yes,No,No,1,Corporate Hidden Strugglers
32,Male,United States,No,Yes,Yes,Rarely,More than 1000,No,No,Yes,Yes,Yes,Yes,Yes,Don't know,No,No,Some of them,Yes,No,Yes,Yes,No,0,Open Advocates
28,Male,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,No,No,No,No,No,Somewhat difficult,Maybe,Maybe,No,No,No,No,No,No,0,Open Advocates
35,Male,United States,No,Yes,No,Never,More than 1000,No,Yes,Yes,No,Yes,Yes,Yes,Very easy,No,No,Some of them,Yes,No,No,Don't know,No,0,Open Advocates
36,Male,United States,No,Yes,Yes,Often,100-500,No,Yes,No,Yes,No,No,Yes,Very easy,No,No,Some of them,Some of them,No,No,Don't know,No,2,Mature Silent Sufferers
21,Male,United States,No,Yes,Yes,Rarely,100-500,No,Yes,Yes,No,No,No,Yes,Don't know,No,No,Yes,Yes,Maybe,Maybe,Don't know,No,1,Corporate Hidden Strugglers
21,Male,United Kingdom,No,No,Yes,Sometimes,6-25,No,No,No,No,No,No,No,Very easy,Yes,No,Some of them,No,No,Maybe,No,No,2,Mature Silent Sufferers
22,Female,United States,No,No,No,Never,More than 1000,No,Yes,Yes,No,Yes,Yes,Yes,Somewhat easy,No,No,No,Some of them,No,No,Yes,No,0,Open Advocates
41,Male,United States,No,Yes,Yes,Often,More than 1000,No,Yes,Yes,No,Yes,Yes,No,Somewhat difficult,Maybe,No,Yes,Some of them,No,Maybe,No,Yes,0,Open Advocates
55,Male,United States,No,Yes,Yes,Rarely,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,No,0,Open Advocates
32,Female,United States,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No,Maybe,Yes,No,2,Mature Silent Sufferers
21,Female,United States,No,Yes,Yes,Rarely,26-100,No,Yes,No,No,No,No,No,Somewhat easy,Yes,No,Some of them,No,No,Yes,Don't know,No,2,Mature Silent Sufferers
45,Male,United States,No,No,Yes,Never,26-100,Yes,Yes,Yes,Yes,No,No,No,Don't know,Maybe,No,No,Some of them,No,Maybe,Don't know,No,1,Corporate Hidden Strugglers
27,Female,United States,No,No,Yes,Rarely,More than 1000,No,Yes,Yes,Yes,No,No,Yes,Don't know,Yes,Maybe,No,No,No,No,No,No,0,Open Advocates
25,Female,United States,No,Yes,Yes,Sometimes,26-100,Yes,Yes,No,No,No,No,No,Don't know,Maybe,No,Some of them,Yes,No,No,Yes,No,1,Corporate Hidden Strugglers
34,Female,United States,No,Yes,Yes,Rarely,More than 1000,No,No,Yes,Yes,Yes,Yes,Yes,Very difficult,Maybe,Maybe,Some of them,Some of them,No,No,Yes,No,0,Open Advocates
26,Female,United States,No,Yes,Yes,Never,More than 1000,No,Yes,Yes,Yes,No,Yes,Yes,Don't know,Maybe,No,No,No,No,No,Don't know,No,0,Open Advocates
41,Male,Canada,No,No,Yes,Never,500-1000,No,Yes,Yes,No,No,No,No,Somewhat easy,No,No,Some of them,Some of them,No,No,Don't know,No,0,Open Advocates
27,Male,United States,No,No,Yes,Rarely,More than 1000,No,Yes,Yes,No,Yes,Yes,Yes,Don't know,No,No,Some of them,Yes,No,Maybe,Yes,No,0,Open Advocates
31,Male,United States,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,No,No,No,No,Don't know,No,No,Yes,Yes,No,No,Don't know,No,1,Corporate Hidden Strugglers
25,Male,Other,No,Yes,Yes,Often,26-100,Yes,Yes,No,No,No,No,Yes,Somewhat easy,No,No,Yes,Yes,No,Yes,No,No,2,Mature Silent Sufferers
26,Male,United States,No,No,Yes,Sometimes,6-25,No,Yes,No,No,No,No,No,Don't know,Yes,Yes,Some of them,No,No,No,No,No,1,Corporate Hidden Strugglers
27,Female,United States,No,Yes,Yes,Rarely,More than 1000,Yes,Yes,Yes,Yes,No,No,No,Don't know,Maybe,Maybe,No,Yes,No,No,Don't know,No,0,Open Advocates
42,Male,Other,No,No,No,Never,500-1000,No,Yes,No,No,No,No,No,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No,0,Open Advocates
29,Others,United States,Yes,Yes,Yes,Sometimes,1-5,Yes,Yes,Yes,Yes,No,No,No,Very difficult,Yes,No,Some of them,No,No,Maybe,No,No,1,Corporate Hidden Strugglers
25,Female,United States,No,No,Yes,Sometimes,6-25,No,Yes,No,No,No,No,No,Somewhat difficult,Yes,No,Some of them,No,No,Maybe,Don't know,No,1,Corporate Hidden Strugglers
33,Female,Other,No,Yes,Yes,Rarely,More than 1000,No,Yes,Yes,Yes,No,Yes,Yes,Don't know,Maybe,No,Some of them,No,No,Yes,Don't know,No,0,Open Advocates
40,Female,United States,No,Yes,Yes,Rarely,More than 1000,No,No,Yes,No,No,No,No,Somewhat easy,Maybe,Maybe,No,No,No,No,Don't know,No,0,Open Advocates
31,Male,United States,No,No,No,Never,More than 1000,No,Yes,No,No,No,No,No,Somewhat easy,Yes,No,Some of them,No,No,No,Don't know,No,0,Open Advocates
26,Male,Canada,No,Yes,Yes,Often,26-100,Yes,Yes,No,No,No,No,No,Very easy,No,No,Yes,Yes,No,No,Yes,No,2,Mature Silent Sufferers
24,Female,United States,No,Yes,No,Sometimes,500-1000,No,No,No,No,No,No,No,Very difficult,Yes,Maybe,No,No,No,Maybe,No,Yes,0,Open Advocates
29,Male,United States,No,No,No,Never,More than 1000,No,No,Yes,No,No,No,No,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,0,Open Advocates
48,Male,United Kingdom,No,No,No,Never,26-100,No,Yes,No,No,No,No,No,Don't know,Maybe,Maybe,No,No,No,No,No,No,1,Corporate Hidden Strugglers
35,Male,United Kingdom,No,No,No,Sometimes,6-25,No,Yes,No,No,No,No,No,Very difficult,Maybe,Maybe,Some of them,Yes,No,Maybe,No,Yes,1,Corporate Hidden Strugglers
32,Female,United States,No,No,No,Never,100-500,No,Yes,No,No,No,No,No,Don't know,Maybe,No,No,Some of them,No,Maybe,Don't know,No,1,Corporate Hidden Strugglers
29,Male,Canada,No,No,Yes,Sometimes,100-500,No,Yes,No,No,No,No,Yes,Somewhat easy,Maybe,No,Some of them,Some of them,No,Maybe,Yes,No,2,Mature Silent Sufferers
26,Male,United States,No,Yes,Yes,Often,6-25,No,Yes,Yes,Yes,No,No,No,Somewhat difficult,Maybe,No,Some of them,Yes,No,No,No,No,2,Mature Silent Sufferers
28,Male,United States,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,No,No,Don't know,Maybe,No,Some of them,No,No,Maybe,No,No,1,Corporate Hidden Strugglers
23,Male,United States,No,No,No,Never,More than 1000,No,Yes,No,No,No,No,No,Don't know,No,No,Some of them,Yes,No,Maybe,No,No,0,Open Advocates
35,Male,United States,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,No,Very difficult,Maybe,Maybe,Some of them,Some of them,No,Maybe,No,Yes,0,Open Advocates
29,Male,Other,No,Yes,Yes,Sometimes,26-100,No,Yes,No,No,No,No,No,Very easy,Maybe,No,Some of them,Some of them,Maybe,Maybe,Don't know,No,2,Mature Silent Sufferers
26,Male,United States,No,Yes,No,Sometimes,6-25,No,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Some of them,Yes,Maybe,Maybe,No,No,2,Mature Silent Sufferers
33,Male,United States,No,Yes,Yes,Never,26-100,Yes,Yes,Yes,Yes,Yes,Yes,No,Don't know,Yes,Maybe,Yes,Some of them,No,No,Yes,No,1,Corporate Hidden Strugglers
33,Male,United States,No,No,No,Never,More than 1000,Yes,Yes,No,No,No,No,No,Don't know,Yes,No,Some of them,No,No,Maybe,Yes,No,0,Open Advocates
22,Male,Other,Yes,No,No,Never,6-25,Yes,Yes,No,No,No,No,No,Somewhat easy,No,No,Yes,Yes,Maybe,No,Don't know,No,2,Mature Silent Sufferers
30,Female,Other,No,Yes,No,Never,500-1000,No,Yes,No,No,No,No,No,Don't know,Yes,Maybe,No,No,No,No,Don't know,No,0,Open Advocates
33,Male,United States,No,Yes,Yes,Often,More than 1000,Yes,Yes,Yes,Yes,No,No,No,Somewhat easy,Yes,No,No,No,No,No,No,No,0,Open Advocates
31,Female,United States,No,Yes,Yes,Rarely,More than 1000,No,No,No,No,No,No,No,Very difficult,Yes,Maybe,No,No,No,Maybe,No,No,0,Open Advocates
21,Male,United States,No,Yes,No,Never,More than 1000,No,Yes,No,No,No,No,No,Don't know,No,No,Some of them,Some of them,No,Maybe,Don't know,Yes,0,Open Advocates
31,Others,United Kingdom,No,Yes,Yes,Sometimes,More than 1000,No,Yes,No,No,No,No,No,Don't know,Yes,Maybe,No,No,No,Yes,Yes,No,0,Open Advocates
26,Female,United States,No,No,Yes,Sometimes,100-500,Yes,Yes,No,No,No,No,No,Somewhat difficult,No,No,Some of them,Some of them,No,No,Yes,No,2,Mature Silent Sufferers
30,Male,United States,No,Yes,No,Often,6-25,No,Yes,No,No,No,No,No,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Don't know,No,2,Mature Silent Sufferers
30,Others,Other,No,Yes,Yes,Sometimes,100-500,No,Yes,No,No,No,No,No,Somewhat difficult,No,No,Yes,Yes,Maybe,Maybe,No,No,2,Mature Silent Sufferers
23,Male,Other,No,No,No,Never,6-25,No,Yes,No,No,No,No,No,Don't know,No,No,Some of them,Yes,Maybe,Maybe,No,No,1,Corporate Hidden Strugglers
34,Male,Other,No,No,No,Never,6-25,No,Yes,No,No,No,No,No,Somewhat easy,No,No,Yes,Yes,No,Maybe,Don't know,No,2,Mature Silent Sufferers
55,Male,United States,No,Yes,Yes,Sometimes,1-5,Yes,Yes,No,Yes,No,No,No,Don't know,Yes,Maybe,No,No,No,No,No,Yes,1,Corporate Hidden Strugglers
28,Male,Other,No,Yes,Yes,Rarely,1-5,Yes,Yes,Yes,No,No,No,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,No,2,Mature Silent Sufferers
26,Male,Other,No,No,No,Never,26-100,Yes,Yes,No,No,No,No,No,Don't know,No,No,Some of them,No,No,Yes,Don't know,No,1,Corporate Hidden Strugglers
28,Male,Other,No,Yes,Yes,Sometimes,6-25,Yes,Yes,Yes,Yes,Yes,No,No,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No,2,Mature Silent Sufferers
32,Male,United Kingdom,No,Yes,Yes,Sometimes,6-25,No,Yes,No,No,No,No,No,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No,2,Mature Silent Sufferers
28,Female,United States,No,No,Yes,Rarely,More than 1000,No,No,Yes,Yes,No,No,No,Don't know,Maybe,No,No,No,No,No,Don't know,No,0,Open Advocates
21,Male,United States,No,No,No,Sometimes,6-25,No,No,No,No,No,Yes,Yes,Don't know,No,No,Some of them,Some of them,Maybe,Maybe,Yes,No,1,Corporate Hidden Strugglers
24,Male,United States,No,Yes,Yes,Sometimes,100-500,No,Yes,No,Yes,No,No,No,Somewhat difficult,Yes,No,Some of them,Some of them,No,Maybe,No,Yes,1,Corporate Hidden Strugglers
26,Female,United States,No,No,No,Never,More than 1000,No,No,Yes,No,Yes,No,No,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No,0,Open Advocates
23,Male,United States,No,No,No,Never,More than 1000,No,No,Yes,No,No,No,No,Don't know,No,No,Yes,No,No,Yes,Don't know,No,0,Open Advocates
24,Female,United States,No,No,No,Never,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,Yes,Yes,Yes,No,0,Open Advocates
28,Male,Canada,Yes,No,No,Never,100-500,Yes,Yes,No,No,No,No,No,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Yes,No,2,Mature Silent Sufferers
24,Female,United States,No,Yes,Yes,Rarely,6-25,No,Yes,No,No,No,No,No,Very easy,Yes,No,No,Some of them,No,Yes,Yes,No,2,Mature Silent Sufferers
33,Male,United States,Yes,No,Yes,Often,1-5,Yes,Yes,No,No,No,No,Yes,Somewhat easy,Yes,Maybe,Some of them,Some of them,Yes,Yes,Don't know,No,2,Mature Silent Sufferers
34,Male,United States,No,No,No,Sometimes,26-100,No,Yes,No,No,No,No,No,Don't know,Maybe,No,Yes,Yes,No,Maybe,Don't know,No,1,Corporate Hidden Strugglers
27,Female,United States,No,No,Yes,Sometimes,26-100,No,Yes,No,No,No,No,No,Somewhat difficult,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,1,Corporate Hidden Strugglers
28,Male,United States,No,No,No,Never,6-25,No,Yes,No,No,No,No,No,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,1,Corporate Hidden Strugglers
26,Male,United States,No,No,No,Never,More than 1000,No,Yes,No,No,No,No,No,Don't know,No,No,Some of them,Yes,No,No,Don't know,Yes,0,Open Advocates
20,Male,Other,No,No,No,Never,100-500,Yes,Yes,No,No,No,No,Yes,Very easy,No,No,Some of them,Yes,No,No,Don't know,No,2,Mature Silent Sufferers
23,Female,United States,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,No,No,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No,1,Corporate Hidden Strugglers
29,Male,United States,No,Yes,Yes,Rarely,1-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,2,Mature Silent Sufferers
26,Male,United Kingdom,No,Yes,No,Sometimes,6-25,No,Yes,No,No,No,No,No,Don't know,Maybe,Maybe,No,No,No,Maybe,No,No,1,Corporate Hidden Strugglers
36,Male,United States,No,No,No,Rarely,More than 1000,Yes,Yes,Yes,No,Yes,No,No,Somewhat easy,Maybe,No,No,No,No,No,Don't know,No,0,Open Advocates
41,Male,United States,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Maybe,No,Some of them,Yes,Maybe,Yes,Yes,Yes,0,Open Advocates
33,Female,United States,No,No,No,Never,100-500,Yes,Yes,Yes,No,No,No,No,Don't know,No,No,Some of them,Yes,No,No,Yes,No,1,Corporate Hidden Strugglers
23,Male,Canada,No,Yes,Yes,Sometimes,6-25,No,Yes,Yes,Yes,No,No,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,No,2,Mature Silent Sufferers
39,Male,United States,No,Yes,No,Often,More than 1000,No,Yes,Yes,No,No,No,No,Don't know,Yes,No,Some of them,Some of them,No,Maybe,No,Yes,0,Open Advocates
34,Male,United States,No,Yes,No,Sometimes,More than 1000,No,Yes,Yes,No,No,No,No,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,Yes,0,Open Advocates
26,Female,United States,No,No,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,No,Somewhat difficult,Yes,Maybe,Some of them,Some of them,No,No,No,Yes,0,Open Advocates
24,Male,United States,No,No,Yes,Rarely,26-100,No,Yes,Yes,Yes,Yes,No,No,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,1,Corporate Hidden Strugglers
37,Male,Canada,No,Yes,Yes,Rarely,More than 1000,No,No,Yes,Yes,Yes,Yes,No,Don't know,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,0,Open Advocates
43,Male,United States,Yes,Yes,Yes,Often,6-25,Yes,Yes,Yes,Yes,No,No,Yes,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,2,Mature Silent Sufferers
40,Others,United States,No,Yes,No,Never,More than 1000,No,Yes,Yes,Yes,Yes,No,Yes,Don't know,Yes,Maybe,No,Some of them,No,Maybe,Yes,No,0,Open Advocates
30,Male,United States,No,Yes,Yes,Often,More than 1000,No,Yes,Yes,Yes,Yes,No,No,Very difficult,Yes,No,Some of them,No,No,No,No,Yes,0,Open Advocates
34,Male,United States,No,No,Yes,Sometimes,6-25,No,Yes,No,No,No,No,No,Don't know,Yes,Yes,Some of them,No,No,No,Don't know,No,1,Corporate Hidden Strugglers
27,Male,United States,No,Yes,Yes,Sometimes,100-500,No,Yes,No,No,No,No,No,Don't know,Yes,No,No,No,No,Yes,Don't know,No,1,Corporate Hidden Strugglers
36,Male,United States,No,No,No,Sometimes,More than 1000,No,Yes,No,No,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Yes,Don't know,No,0,Open Advocates
27,Male,Other,No,No,No,Rarely,6-25,No,Yes,No,Yes,No,No,No,Somewhat easy,Maybe,No,Some of them,Some of them,No,Maybe,No,No,2,Mature Silent Sufferers
35,Male,Other,No,Yes,No,Never,100-500,No,Yes,Yes,No,No,No,Yes,Don't know,Yes,No,No,No,No,Maybe,Don't know,No,1,Corporate Hidden Strugglers
32,Male,United Kingdom,No,No,No,Never,6-25,No,Yes,No,No,No,No,No,Don't know,Maybe,No,Some of them,No,No,Yes,Yes,No,1,Corporate Hidden Strugglers
37,Male,United States,No,No,No,Never,500-1000,No,Yes,Yes,No,No,No,No,Don't know,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,0,Open Advocates
29,Male,United Kingdom,No,No,No,Never,26-100,No,Yes,No,No,No,No,No,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,1,Corporate Hidden Strugglers
33,Female,United States,No,No,No,Never,500-1000,No,Yes,Yes,No,Yes,Yes,No,Very easy,Maybe,No,Some of them,Yes,No,No,Yes,No,0,Open Advocates
